number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,28366.69153185629,2025-03-17 08:48:15.239048,2025-03-17 08:48:16.258252,0 days 00:00:01.019204,0.035405269338229246,3,30,900,58,COMPLETE
1,29142.28312026458,2025-03-17 08:48:16.259332,2025-03-17 08:48:17.318030,0 days 00:00:01.058698,0.027197929879745255,15,22,100,80,COMPLETE
2,29151.187820470586,2025-03-17 08:48:17.318528,2025-03-17 08:48:18.420198,0 days 00:00:01.101670,0.05219528573417094,6,18,500,66,COMPLETE
3,27523.683102173833,2025-03-17 08:48:18.420798,2025-03-17 08:48:19.172310,0 days 00:00:00.751512,0.03417339781034306,3,37,800,62,COMPLETE
4,29545.806767485516,2025-03-17 08:48:19.172959,2025-03-17 08:48:21.922754,0 days 00:00:02.749795,0.011500024829826403,8,26,700,84,COMPLETE
5,70373.01083851904,2025-03-17 08:48:21.923709,2025-03-17 08:48:21.932690,0 days 00:00:00.008981,0.015399940922986112,14,27,300,49,PRUNED
6,28828.79008307628,2025-03-17 08:48:21.932781,2025-03-17 08:48:22.295454,0 days 00:00:00.362673,0.16382405583467416,11,40,100,33,COMPLETE
7,29108.599154320615,2025-03-17 08:48:22.295924,2025-03-17 08:48:22.909313,0 days 00:00:00.613389,0.12775375177173795,15,48,300,34,PRUNED
8,70188.85487186196,2025-03-17 08:48:22.909477,2025-03-17 08:48:22.912474,0 days 00:00:00.002997,0.023119390793643772,3,46,700,53,PRUNED
9,69588.45804709075,2025-03-17 08:48:22.912557,2025-03-17 08:48:22.918655,0 days 00:00:00.006098,0.028761350028209207,14,23,500,24,PRUNED
10,25982.659746583708,2025-03-17 08:48:22.918761,2025-03-17 08:48:26.410848,0 days 00:00:03.492087,0.2990415476465175,6,11,1000,96,COMPLETE
11,28465.999736101447,2025-03-17 08:48:26.411887,2025-03-17 08:48:26.911010,0 days 00:00:00.499123,0.08717722086338066,6,10,1000,97,PRUNED
12,29572.971569794776,2025-03-17 08:48:26.911205,2025-03-17 08:48:27.487056,0 days 00:00:00.575851,0.2984547886534736,5,37,800,75,PRUNED
13,28276.284762639618,2025-03-17 08:48:27.487292,2025-03-17 08:48:29.087520,0 days 00:00:01.600228,0.05852385257009226,10,38,1000,98,PRUNED
14,27642.026232038148,2025-03-17 08:48:29.087802,2025-03-17 08:48:32.870662,0 days 00:00:03.782860,0.2542379740511086,8,12,800,68,COMPLETE
15,28284.867883346385,2025-03-17 08:48:32.871378,2025-03-17 08:48:34.133374,0 days 00:00:01.261996,0.05603386243212574,5,34,900,86,PRUNED
16,28502.350373813293,2025-03-17 08:48:34.133747,2025-03-17 08:48:34.764705,0 days 00:00:00.630958,0.10066752854522658,4,43,700,42,PRUNED
17,29599.84984292612,2025-03-17 08:48:34.764984,2025-03-17 08:48:35.081238,0 days 00:00:00.316254,0.18892871400679262,7,16,1000,91,PRUNED
18,70244.88889301846,2025-03-17 08:48:35.081395,2025-03-17 08:48:35.093651,0 days 00:00:00.012256,0.018272817168985666,4,33,600,72,PRUNED
19,69026.45514660866,2025-03-17 08:48:35.093733,2025-03-17 08:48:35.112929,0 days 00:00:00.019196,0.04016520483380145,12,17,900,65,PRUNED
20,29181.295790599463,2025-03-17 08:48:35.113030,2025-03-17 08:48:35.424224,0 days 00:00:00.311194,0.07485748644882032,9,50,800,48,PRUNED
