number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
40,67222.40010416378,2025-03-17 08:47:20.065380,2025-03-17 08:47:20.085933,0 days 00:00:00.020553,0.06989903282842588,14,24,800,82,PRUNED
41,28585.358158888448,2025-03-17 08:47:20.086030,2025-03-17 08:47:20.167723,0 days 00:00:00.081693,0.1617887421143977,4,31,400,39,PRUNED
42,68424.06279168781,2025-03-17 08:47:20.167865,2025-03-17 08:47:20.182437,0 days 00:00:00.014572,0.05057330160205998,4,34,600,61,PRUNED
43,66913.90631899728,2025-03-17 08:47:20.182543,2025-03-17 08:47:20.195293,0 days 00:00:00.012750,0.0842593636635268,3,36,300,51,PRUNED
44,28910.122631270933,2025-03-17 08:47:20.195380,2025-03-17 08:47:20.294116,0 days 00:00:00.098736,0.29658761463299993,6,28,400,45,PRUNED
45,27392.335501024125,2025-03-17 08:47:20.294288,2025-03-17 08:47:21.032166,0 days 00:00:00.737878,0.13496339658335355,5,18,500,58,PRUNED
46,28629.238004166004,2025-03-17 08:47:21.032412,2025-03-17 08:47:21.241260,0 days 00:00:00.208848,0.20005762690890302,13,38,100,32,PRUNED
47,60380.25458228157,2025-03-17 08:47:21.241401,2025-03-17 08:47:21.262967,0 days 00:00:00.021566,0.11349548789532035,15,41,800,39,PRUNED
48,69908.41454162136,2025-03-17 08:47:21.263062,2025-03-17 08:47:21.286728,0 days 00:00:00.023666,0.024347130183982216,7,11,700,90,PRUNED
49,66370.89716821794,2025-03-17 08:47:21.286831,2025-03-17 08:47:21.299706,0 days 00:00:00.012875,0.09248626973502204,3,35,600,25,PRUNED
