number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,28980.46155494941,2025-03-17 08:28:55.276458,2025-03-17 08:28:55.398645,0 days 00:00:00.122187,0.18158027034632165,3,31,100,99,COMPLETE
1,29136.33627736497,2025-03-17 08:28:55.398916,2025-03-17 08:28:57.477403,0 days 00:00:02.078487,0.2546763016450384,9,34,700,35,COMPLETE
2,29156.886360262495,2025-03-17 08:28:57.477827,2025-03-17 08:28:59.778278,0 days 00:00:02.300451,0.25005919601980814,6,18,900,20,COMPLETE
3,31871.179017735878,2025-03-17 08:28:59.778759,2025-03-17 08:29:00.153703,0 days 00:00:00.374944,0.015785468282622558,8,15,100,22,COMPLETE
4,28692.27807474052,2025-03-17 08:29:00.153951,2025-03-17 08:29:01.192189,0 days 00:00:01.038238,0.03060365645688297,10,48,300,77,COMPLETE
5,66491.83009537453,2025-03-17 08:29:01.192534,2025-03-17 08:29:01.198292,0 days 00:00:00.005758,0.07761938158784593,5,15,300,24,PRUNED
6,67675.7281692131,2025-03-17 08:29:01.198391,2025-03-17 08:29:01.205466,0 days 00:00:00.007075,0.06613747186882236,10,40,400,86,PRUNED
7,70195.6748974087,2025-03-17 08:29:01.205578,2025-03-17 08:29:01.208407,0 days 00:00:00.002829,0.020217913004707502,3,25,300,100,PRUNED
8,68399.28129051394,2025-03-17 08:29:01.208481,2025-03-17 08:29:01.216818,0 days 00:00:00.008337,0.04916901832834149,14,33,100,51,PRUNED
9,62764.88228527194,2025-03-17 08:29:01.216918,2025-03-17 08:29:01.225046,0 days 00:00:00.008128,0.14696469698848877,8,34,600,94,PRUNED
10,69687.21120078363,2025-03-17 08:29:01.225142,2025-03-17 08:29:01.240227,0 days 00:00:00.015085,0.03138638767591086,13,50,1000,73,PRUNED
11,65642.42711955517,2025-03-17 08:29:01.240324,2025-03-17 08:29:01.253899,0 days 00:00:00.013575,0.1123591539014943,11,50,200,79,PRUNED
12,69484.68097441542,2025-03-17 08:29:01.254000,2025-03-17 08:29:01.268423,0 days 00:00:00.014423,0.03291303004415943,12,41,400,64,PRUNED
13,70588.28882423867,2025-03-17 08:29:01.268509,2025-03-17 08:29:01.278720,0 days 00:00:00.010211,0.012894887207344132,3,25,100,87,PRUNED
14,69515.20452507948,2025-03-17 08:29:01.278805,2025-03-17 08:29:01.293303,0 days 00:00:00.014498,0.03263473403331674,15,42,500,58,PRUNED
15,62854.49696788298,2025-03-17 08:29:01.293393,2025-03-17 08:29:01.307820,0 days 00:00:00.014427,0.1457509968123558,6,26,300,71,PRUNED
16,68863.99334517664,2025-03-17 08:29:01.307920,2025-03-17 08:29:01.321801,0 days 00:00:00.013881,0.04767563713867485,7,45,200,88,PRUNED
17,70042.85005809678,2025-03-17 08:29:01.321918,2025-03-17 08:29:01.340666,0 days 00:00:00.018748,0.021019151135739798,10,29,700,98,PRUNED
18,66299.37513679123,2025-03-17 08:29:01.340780,2025-03-17 08:29:01.352580,0 days 00:00:00.011800,0.10232253979670006,4,46,200,50,PRUNED
19,28869.817954702325,2025-03-17 08:29:01.353236,2025-03-17 08:29:03.059208,0 days 00:00:01.705972,0.18183753468304087,11,38,500,77,COMPLETE
20,66445.88013757624,2025-03-17 08:29:03.059647,2025-03-17 08:29:03.075298,0 days 00:00:00.015651,0.08513673069122878,11,38,500,76,PRUNED
21,29307.349616709223,2025-03-17 08:29:03.075423,2025-03-17 08:29:04.680453,0 days 00:00:01.605030,0.20109350101035509,13,36,400,66,COMPLETE
22,62106.63054661939,2025-03-17 08:29:04.680904,2025-03-17 08:29:04.698404,0 days 00:00:00.017500,0.15856834457105987,9,30,600,84,PRUNED
