number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,27636.38798435493,2025-03-17 07:35:53.333585,2025-03-17 07:35:56.309551,0 days 00:00:02.975966,0.01640655824543359,9,33,1000,33,COMPLETE
1,28773.663428133663,2025-03-17 07:35:56.309767,2025-03-17 07:35:57.271963,0 days 00:00:00.962196,0.14003147473140573,11,42,300,81,COMPLETE
2,29496.478493578667,2025-03-17 07:35:57.272158,2025-03-17 07:35:58.763684,0 days 00:00:01.491526,0.2203613145299715,5,40,900,98,COMPLETE
3,28151.612541286187,2025-03-17 07:35:58.763869,2025-03-17 07:36:02.688851,0 days 00:00:03.924982,0.056255664347339675,11,19,1000,71,COMPLETE
4,27006.5954911368,2025-03-17 07:36:02.689024,2025-03-17 07:36:03.664212,0 days 00:00:00.975188,0.02387084219449726,6,13,300,90,COMPLETE
5,33696.55514597023,2025-03-17 07:36:03.664384,2025-03-17 07:36:04.120849,0 days 00:00:00.456465,0.017166323575946375,12,50,100,74,COMPLETE
6,28052.151561824157,2025-03-17 07:36:04.121027,2025-03-17 07:36:06.801713,0 days 00:00:02.680686,0.011748231704485088,7,31,1000,54,COMPLETE
7,28557.958386590275,2025-03-17 07:36:06.801892,2025-03-17 07:36:09.917300,0 days 00:00:03.115408,0.024710503329729308,10,21,1000,23,COMPLETE
8,28660.104941940914,2025-03-17 07:36:09.917480,2025-03-17 07:36:12.006844,0 days 00:00:02.089364,0.10863690532033997,9,34,800,81,COMPLETE
9,28419.082157724803,2025-03-17 07:36:12.007018,2025-03-17 07:36:12.491572,0 days 00:00:00.484554,0.03492958674429978,3,47,500,94,COMPLETE
10,25976.076795767116,2025-03-17 07:36:12.491742,2025-03-17 07:36:15.577219,0 days 00:00:03.085477,0.06163266409059998,15,13,500,52,COMPLETE
11,27021.819930239646,2025-03-17 07:36:15.577406,2025-03-17 07:36:18.603933,0 days 00:00:03.026527,0.056804803444950924,14,11,500,52,COMPLETE
12,27003.716298646945,2025-03-17 07:36:18.604101,2025-03-17 07:36:20.570210,0 days 00:00:01.966109,0.036768773397024876,15,11,300,44,COMPLETE
13,28905.29297596165,2025-03-17 07:36:20.570378,2025-03-17 07:36:24.059779,0 days 00:00:03.489401,0.08786732732541676,15,21,700,42,COMPLETE
14,29850.123749387152,2025-03-17 07:36:24.059953,2025-03-17 07:36:25.675976,0 days 00:00:01.616023,0.03978872388694434,13,16,300,43,COMPLETE
15,29220.221017328477,2025-03-17 07:36:25.676144,2025-03-17 07:36:26.346447,0 days 00:00:00.670303,0.07611229894107985,15,25,100,61,COMPLETE
16,26844.633922163754,2025-03-17 07:36:26.346622,2025-03-17 07:36:29.381624,0 days 00:00:03.035002,0.04011587889936058,13,11,600,36,COMPLETE
17,29131.80978197601,2025-03-17 07:36:29.381802,2025-03-17 07:36:31.483057,0 days 00:00:02.101255,0.29883457404716834,13,27,600,22,COMPLETE
18,29199.116616016352,2025-03-17 07:36:31.483239,2025-03-17 07:36:34.418622,0 days 00:00:02.935383,0.15497760668645855,13,16,600,33,COMPLETE
19,30037.981156728172,2025-03-17 07:36:34.418792,2025-03-17 07:36:36.393290,0 days 00:00:01.974498,0.06912750060457222,12,16,400,64,COMPLETE
20,31176.777467365184,2025-03-17 07:36:36.393471,2025-03-17 07:36:38.453619,0 days 00:00:02.060148,0.04609996219507492,8,25,700,31,COMPLETE
21,27902.129995407682,2025-03-17 07:36:38.453793,2025-03-17 07:36:41.538935,0 days 00:00:03.085142,0.032191540033172206,15,10,400,46,COMPLETE
22,27688.112937261725,2025-03-17 07:36:41.539113,2025-03-17 07:36:43.009149,0 days 00:00:01.470036,0.025080416538814636,14,13,200,51,COMPLETE
23,28587.939726943016,2025-03-17 07:36:43.009383,2025-03-17 07:36:45.216102,0 days 00:00:02.206719,0.04731504835777057,14,10,400,37,COMPLETE
24,27488.580122363262,2025-03-17 07:36:45.216280,2025-03-17 07:36:49.118743,0 days 00:00:03.902463,0.09679533538147005,15,17,700,47,COMPLETE
25,26523.27914967369,2025-03-17 07:36:49.118913,2025-03-17 07:36:51.930940,0 days 00:00:02.812027,0.030893972873960673,12,13,500,55,COMPLETE
26,28592.257211706303,2025-03-17 07:36:51.931133,2025-03-17 07:36:54.206868,0 days 00:00:02.275735,0.028619454121918526,11,21,500,57,COMPLETE
27,27345.30965364939,2025-03-17 07:36:54.207059,2025-03-17 07:36:57.956914,0 days 00:00:03.749855,0.018852352235253174,12,14,600,66,COMPLETE
28,29295.96405089266,2025-03-17 07:36:57.957089,2025-03-17 07:37:01.007936,0 days 00:00:03.050847,0.010978378396511876,10,24,800,28,COMPLETE
29,27701.44740004512,2025-03-17 07:37:01.008108,2025-03-17 07:37:03.362125,0 days 00:00:02.354017,0.06549269016167912,13,19,500,39,COMPLETE
30,28466.514737588128,2025-03-17 07:37:03.362311,2025-03-17 07:37:05.827626,0 days 00:00:02.465315,0.014044812696685373,10,37,600,58,COMPLETE
31,26550.116353899622,2025-03-17 07:37:05.827813,2025-03-17 07:37:08.354452,0 days 00:00:02.526639,0.03868666068872162,14,13,400,48,COMPLETE
32,27034.976226017076,2025-03-17 07:37:08.354625,2025-03-17 07:37:10.533239,0 days 00:00:02.178614,0.04869150409273138,14,14,400,37,COMPLETE
33,27503.10405617855,2025-03-17 07:37:10.533426,2025-03-17 07:37:13.032181,0 days 00:00:02.498755,0.021488310775073002,12,13,400,49,COMPLETE
34,28247.275816033456,2025-03-17 07:37:13.032374,2025-03-17 07:37:15.858479,0 days 00:00:02.826105,0.040737148569743,14,18,500,53,COMPLETE
35,28418.44091930944,2025-03-17 07:37:15.858670,2025-03-17 07:37:17.016052,0 days 00:00:01.157382,0.13711513838364894,13,14,200,67,COMPLETE
36,26784.574283673344,2025-03-17 07:37:17.016228,2025-03-17 07:37:20.805658,0 days 00:00:03.789430,0.029096218489395084,11,12,700,72,COMPLETE
37,28745.06438538327,2025-03-17 07:37:20.805831,2025-03-17 07:37:23.603513,0 days 00:00:02.797682,0.030205105827736084,11,28,700,77,COMPLETE
38,30679.570311733787,2025-03-17 07:37:23.603708,2025-03-17 07:37:25.857639,0 days 00:00:02.253931,0.058976978777731115,8,22,800,85,COMPLETE
39,27574.55598731362,2025-03-17 07:37:25.857818,2025-03-17 07:37:30.677812,0 days 00:00:04.819994,0.01416954911417791,11,15,900,60,COMPLETE
40,27935.745760033726,2025-03-17 07:37:30.677980,2025-03-17 07:37:32.231865,0 days 00:00:01.553885,0.023059988451399564,10,19,200,75,COMPLETE
41,27050.53973306902,2025-03-17 07:37:32.232041,2025-03-17 07:37:35.891237,0 days 00:00:03.659196,0.04128968376962144,12,12,600,71,COMPLETE
42,28398.315324162733,2025-03-17 07:37:35.891409,2025-03-17 07:37:39.679732,0 days 00:00:03.788323,0.027721860961989545,14,10,500,55,COMPLETE
43,27020.334972255445,2025-03-17 07:37:39.679921,2025-03-17 07:37:43.514308,0 days 00:00:03.834387,0.05197301056941389,12,12,700,62,COMPLETE
44,28960.95736369123,2025-03-17 07:37:43.514504,2025-03-17 07:37:45.605789,0 days 00:00:02.091285,0.0348492542156451,11,42,600,68,COMPLETE
45,27509.41741582256,2025-03-17 07:37:45.605966,2025-03-17 07:37:46.752414,0 days 00:00:01.146448,0.02016366321071852,4,17,800,40,COMPLETE
46,27298.709957747513,2025-03-17 07:37:46.752581,2025-03-17 07:37:48.399114,0 days 00:00:01.646533,0.08050769474164446,9,12,500,27,COMPLETE
47,28108.457588153826,2025-03-17 07:37:48.399283,2025-03-17 07:37:50.274039,0 days 00:00:01.874756,0.06018661020217481,13,10,300,49,COMPLETE
48,27863.508418163434,2025-03-17 07:37:50.274362,2025-03-17 07:37:52.320082,0 days 00:00:02.045720,0.03729950956746143,15,32,400,85,COMPLETE
49,28877.591873809433,2025-03-17 07:37:52.320268,2025-03-17 07:37:55.923524,0 days 00:00:03.603256,0.016224910758842647,13,47,900,56,COMPLETE
