number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,26742.535587589053,2025-03-17 08:45:10.323625,2025-03-17 08:45:11.377349,0 days 00:00:01.053724,0.10251691130762307,5,12,500,42,COMPLETE
1,27756.97738916296,2025-03-17 08:45:11.377856,2025-03-17 08:45:12.310337,0 days 00:00:00.932481,0.011409304574158731,3,36,900,98,COMPLETE
2,28894.4705091426,2025-03-17 08:45:12.310963,2025-03-17 08:45:12.622508,0 days 00:00:00.311545,0.056584559215992286,6,20,100,40,COMPLETE
3,28526.51094582117,2025-03-17 08:45:12.622886,2025-03-17 08:45:12.936630,0 days 00:00:00.313744,0.021822093129719628,3,46,300,85,COMPLETE
4,28250.649168236076,2025-03-17 08:45:12.937056,2025-03-17 08:45:13.707331,0 days 00:00:00.770275,0.015143214176673083,3,12,700,69,COMPLETE
5,70475.0797524498,2025-03-17 08:45:13.707875,2025-03-17 08:45:13.720778,0 days 00:00:00.012903,0.013535850228858639,13,18,1000,85,PRUNED
6,29135.69505839659,2025-03-17 08:45:13.720872,2025-03-17 08:45:16.864857,0 days 00:00:03.143985,0.2972932934066398,9,16,700,68,COMPLETE
7,65155.4197713242,2025-03-17 08:45:16.865407,2025-03-17 08:45:16.884257,0 days 00:00:00.018850,0.04009126146983215,13,39,1000,45,PRUNED
8,70541.03711634393,2025-03-17 08:45:16.884383,2025-03-17 08:45:16.889151,0 days 00:00:00.004768,0.012790774265974419,5,30,200,48,PRUNED
9,28873.20054535281,2025-03-17 08:45:16.889229,2025-03-17 08:45:17.334237,0 days 00:00:00.445008,0.2206390521322826,7,38,200,58,COMPLETE
10,30424.842035017493,2025-03-17 08:45:17.334647,2025-03-17 08:45:18.834873,0 days 00:00:01.500226,0.11600482263044266,10,25,500,25,PRUNED
11,28427.84988648565,2025-03-17 08:45:18.835150,2025-03-17 08:45:19.473903,0 days 00:00:00.638753,0.088080734396724,4,35,500,97,COMPLETE
12,69599.5020208865,2025-03-17 08:45:19.474368,2025-03-17 08:45:19.487643,0 days 00:00:00.013275,0.03317461269445721,8,50,800,26,PRUNED
