number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,27954.925989375955,2025-03-17 07:58:23.722235,2025-03-17 07:58:25.616541,0 days 00:00:01.894306,0.022948245648840286,15,45,400,60,COMPLETE
1,27397.687586294902,2025-03-17 07:58:25.616975,2025-03-17 07:58:29.757523,0 days 00:00:04.140548,0.03158756571236931,14,19,1000,23,COMPLETE
2,29397.250150038843,2025-03-17 07:58:29.758320,2025-03-17 07:58:30.988666,0 days 00:00:01.230346,0.06382086401076642,5,30,800,87,COMPLETE
3,30136.40290740501,2025-03-17 07:58:30.989402,2025-03-17 07:58:34.606430,0 days 00:00:03.617028,0.03156926383411282,15,22,800,30,COMPLETE
4,27238.149973842294,2025-03-17 07:58:34.607225,2025-03-17 07:58:35.408058,0 days 00:00:00.800833,0.043499601429505645,5,13,400,32,COMPLETE
5,29015.65923828093,2025-03-17 07:58:35.408468,2025-03-17 07:58:35.950435,0 days 00:00:00.541967,0.05659757554926012,11,27,200,92,PRUNED
6,26000.3110901572,2025-03-17 07:58:35.950583,2025-03-17 07:58:36.131493,0 days 00:00:00.180910,0.25286670090350055,4,12,100,91,COMPLETE
7,70595.90423416407,2025-03-17 07:58:36.131706,2025-03-17 07:58:36.135166,0 days 00:00:00.003460,0.013893097414080584,4,45,100,59,PRUNED
8,70274.48785451271,2025-03-17 07:58:36.135284,2025-03-17 07:58:36.143672,0 days 00:00:00.008388,0.017505125890801953,13,36,900,68,PRUNED
9,69191.87576645672,2025-03-17 07:58:36.143769,2025-03-17 07:58:36.147242,0 days 00:00:00.003473,0.039415169129809406,4,40,500,25,PRUNED
10,28386.34047460028,2025-03-17 07:58:36.147341,2025-03-17 07:58:36.939204,0 days 00:00:00.791863,0.29434603181939495,8,10,200,99,COMPLETE
11,28667.416197886596,2025-03-17 07:58:36.939460,2025-03-17 07:58:38.001780,0 days 00:00:01.062320,0.13971214052586112,7,10,400,46,PRUNED
12,28597.186679650287,2025-03-17 07:58:38.002019,2025-03-17 07:58:39.616670,0 days 00:00:01.614651,0.12394405434069933,6,17,600,76,COMPLETE
13,25942.948174154975,2025-03-17 07:58:39.617075,2025-03-17 07:58:39.973369,0 days 00:00:00.356294,0.2944801541971769,3,15,300,47,COMPLETE
14,29293.53625470099,2025-03-17 07:58:39.973730,2025-03-17 07:58:40.037808,0 days 00:00:00.064078,0.2993427688157097,3,22,100,47,PRUNED
