number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,29002.087091044927,2025-03-17 08:43:29.174669,2025-03-17 08:43:30.924017,0 days 00:00:01.749348,0.04707023290305302,11,49,500,85,COMPLETE
1,28649.525272970335,2025-03-17 08:43:30.924517,2025-03-17 08:43:33.371336,0 days 00:00:02.446819,0.1782665231099989,8,37,1000,71,COMPLETE
2,30431.35867938116,2025-03-17 08:43:33.372125,2025-03-17 08:43:35.970244,0 days 00:00:02.598119,0.10086234730006836,13,47,700,84,COMPLETE
3,29907.198432005665,2025-03-17 08:43:35.970961,2025-03-17 08:43:36.892230,0 days 00:00:00.921269,0.26461330921752774,9,27,300,97,COMPLETE
4,30489.798441310595,2025-03-17 08:43:36.892804,2025-03-17 08:43:39.774932,0 days 00:00:02.882128,0.07326340093974118,10,47,1000,38,COMPLETE
5,70093.89909255934,2025-03-17 08:43:39.775753,2025-03-17 08:43:39.786337,0 days 00:00:00.010584,0.01999057759586836,7,22,400,56,PRUNED
6,69915.83621762841,2025-03-17 08:43:39.786463,2025-03-17 08:43:39.789238,0 days 00:00:00.002775,0.027544316219691223,3,43,1000,52,PRUNED
7,29337.259567609504,2025-03-17 08:43:39.789352,2025-03-17 08:43:40.441615,0 days 00:00:00.652263,0.23581752919808832,5,37,400,27,COMPLETE
8,70688.46329878742,2025-03-17 08:43:40.442290,2025-03-17 08:43:40.453016,0 days 00:00:00.010726,0.010114960900604195,14,25,900,88,PRUNED
9,68168.63456761466,2025-03-17 08:43:40.453096,2025-03-17 08:43:40.464228,0 days 00:00:00.011132,0.053356692939469375,10,25,400,68,PRUNED
10,27950.62447776793,2025-03-17 08:43:40.464343,2025-03-17 08:43:40.844227,0 days 00:00:00.379884,0.138279987046482,7,12,100,70,COMPLETE
11,63660.867769167824,2025-03-17 08:43:40.844457,2025-03-17 08:43:40.864240,0 days 00:00:00.019783,0.13521944536618616,7,13,100,70,PRUNED
12,33017.616802101154,2025-03-17 08:43:40.864358,2025-03-17 08:43:40.926544,0 days 00:00:00.062186,0.16179017768769394,7,35,700,70,PRUNED
13,27803.64432065126,2025-03-17 08:43:40.926679,2025-03-17 08:43:41.142872,0 days 00:00:00.216193,0.15846022657651918,5,14,100,45,COMPLETE
14,65598.54249089459,2025-03-17 08:43:41.143123,2025-03-17 08:43:41.155004,0 days 00:00:00.011881,0.10693945703610559,4,12,100,40,PRUNED
15,66567.71034148202,2025-03-17 08:43:41.155107,2025-03-17 08:43:41.167844,0 days 00:00:00.012737,0.0817816068010234,5,18,200,46,PRUNED
16,29353.264739697075,2025-03-17 08:43:41.167925,2025-03-17 08:43:41.219963,0 days 00:00:00.052038,0.278868354072943,5,17,200,27,PRUNED
17,57009.26764029196,2025-03-17 08:43:41.220086,2025-03-17 08:43:41.233905,0 days 00:00:00.013819,0.1725398344108521,3,10,200,60,PRUNED
18,69126.41964499342,2025-03-17 08:43:41.234021,2025-03-17 08:43:41.248955,0 days 00:00:00.014934,0.037105249555019836,6,18,100,21,PRUNED
19,67178.38952524052,2025-03-17 08:43:41.249075,2025-03-17 08:43:41.266245,0 days 00:00:00.017170,0.07012904029291188,12,31,600,63,PRUNED
20,63717.18237685108,2025-03-17 08:43:41.266383,2025-03-17 08:43:41.287535,0 days 00:00:00.021152,0.11935605665145725,15,15,300,78,PRUNED
21,31847.50667997282,2025-03-17 08:43:41.287644,2025-03-17 08:43:41.347111,0 days 00:00:00.059467,0.19007030094931363,8,41,800,75,PRUNED
22,28109.206988186368,2025-03-17 08:43:41.347228,2025-03-17 08:43:42.871284,0 days 00:00:01.524056,0.1714930753841537,8,35,600,49,COMPLETE
23,63431.679566921855,2025-03-17 08:43:42.871670,2025-03-17 08:43:42.886476,0 days 00:00:00.014806,0.13572092964799104,6,32,600,48,PRUNED
24,29215.339435386548,2025-03-17 08:43:42.886597,2025-03-17 08:43:42.981418,0 days 00:00:00.094821,0.21222526033031014,9,23,500,38,PRUNED
25,65262.482186288915,2025-03-17 08:43:42.981528,2025-03-17 08:43:42.999976,0 days 00:00:00.018448,0.10207184236689194,8,20,300,55,PRUNED
26,27910.82193052324,2025-03-17 08:43:43.000083,2025-03-17 08:43:45.541152,0 days 00:00:02.541069,0.2977298736825838,6,10,700,48,COMPLETE
27,26468.350429366667,2025-03-17 08:43:45.541915,2025-03-17 08:43:46.999839,0 days 00:00:01.457924,0.2828540422148055,4,11,800,42,COMPLETE
28,25014.673681009965,2025-03-17 08:43:47.000530,2025-03-17 08:43:48.620094,0 days 00:00:01.619564,0.2873479029686392,4,10,800,43,COMPLETE
29,26673.29808097122,2025-03-17 08:43:48.620760,2025-03-17 08:43:50.090000,0 days 00:00:01.469240,0.2326891406005104,4,15,800,34,COMPLETE
30,28632.816116674567,2025-03-17 08:43:50.090734,2025-03-17 08:43:50.158754,0 days 00:00:00.068020,0.23582421639965234,4,15,800,34,PRUNED
31,28515.29252661013,2025-03-17 08:43:50.158898,2025-03-17 08:43:50.211135,0 days 00:00:00.052237,0.21307699326613155,4,14,800,43,PRUNED
32,31082.14080374668,2025-03-17 08:43:50.211266,2025-03-17 08:43:50.241284,0 days 00:00:00.030018,0.27949790651492556,3,10,900,32,PRUNED
33,28895.939754561783,2025-03-17 08:43:50.241425,2025-03-17 08:43:50.287006,0 days 00:00:00.045581,0.21511381887575265,4,17,900,30,PRUNED
34,62382.08542078627,2025-03-17 08:43:50.287147,2025-03-17 08:43:50.304245,0 days 00:00:00.017098,0.15696333981168245,5,20,800,20,PRUNED
35,30039.253531548395,2025-03-17 08:43:50.304377,2025-03-17 08:43:50.340618,0 days 00:00:00.036241,0.2934437065776912,3,13,700,42,PRUNED
36,28697.225291298197,2025-03-17 08:43:50.340762,2025-03-17 08:43:50.410246,0 days 00:00:00.069484,0.2026203832122239,4,16,900,35,PRUNED
37,66461.45326335549,2025-03-17 08:43:50.410384,2025-03-17 08:43:50.430397,0 days 00:00:00.020013,0.08206104438618174,6,20,500,44,PRUNED
38,29287.253042348657,2025-03-17 08:43:50.430519,2025-03-17 08:43:50.487645,0 days 00:00:00.057126,0.24103558260407465,5,28,1000,53,PRUNED
39,70580.96175808979,2025-03-17 08:43:50.487791,2025-03-17 08:43:50.501051,0 days 00:00:00.013260,0.013031402577708965,3,12,700,37,PRUNED
40,29211.537087513658,2025-03-17 08:43:50.501175,2025-03-17 08:43:50.556495,0 days 00:00:00.055320,0.2576552188972142,4,10,800,26,PRUNED
41,26130.04251782761,2025-03-17 08:43:50.556632,2025-03-17 08:43:53.588478,0 days 00:00:03.031846,0.29976526888230554,6,10,700,59,COMPLETE
42,26128.052470130486,2025-03-17 08:43:53.589148,2025-03-17 08:43:55.304130,0 days 00:00:01.714982,0.25384497634169745,5,14,700,58,COMPLETE
43,28569.63918411667,2025-03-17 08:43:55.304774,2025-03-17 08:43:55.385475,0 days 00:00:00.080701,0.2434664376715257,6,12,700,64,PRUNED
44,61220.640849140196,2025-03-17 08:43:55.385622,2025-03-17 08:43:55.397962,0 days 00:00:00.012340,0.1930832645334376,3,15,800,58,PRUNED
45,69335.24520158737,2025-03-17 08:43:55.398042,2025-03-17 08:43:55.410730,0 days 00:00:00.012688,0.03631818282778979,4,12,900,65,PRUNED
46,29199.530151167623,2025-03-17 08:43:55.410836,2025-03-17 08:43:55.463506,0 days 00:00:00.052670,0.29957477709031544,5,22,600,53,PRUNED
47,59134.161645691456,2025-03-17 08:43:55.463622,2025-03-17 08:43:55.478758,0 days 00:00:00.015136,0.248034424340331,11,49,900,59,PRUNED
48,59214.26178290468,2025-03-17 08:43:55.478848,2025-03-17 08:43:55.500769,0 days 00:00:00.021921,0.21890786137136503,7,10,700,86,PRUNED
49,70049.59238084564,2025-03-17 08:43:55.500912,2025-03-17 08:43:55.516313,0 days 00:00:00.015401,0.021198752004008333,5,19,800,99,PRUNED
