number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
40,49852.909219508096,2025-03-17 11:17:27.739860,2025-03-17 11:17:27.786410,0 days 00:00:00.046550,0.10857589031407461,10,42,500,48,PRUNED
41,15445.526623801376,2025-03-17 11:17:27.786542,2025-03-17 11:17:30.089490,0 days 00:00:02.302948,0.29805691678484697,11,47,500,63,COMPLETE
42,28007.61459409274,2025-03-17 11:17:30.089976,2025-03-17 11:17:30.144602,0 days 00:00:00.054626,0.25230820387075376,10,45,400,63,PRUNED
43,15533.957417472893,2025-03-17 11:17:30.144739,2025-03-17 11:17:32.867063,0 days 00:00:02.722324,0.29667252447941084,13,50,500,80,COMPLETE
44,45821.330064568116,2025-03-17 11:17:32.867531,2025-03-17 11:17:32.911358,0 days 00:00:00.043827,0.19176437672396765,11,48,600,77,PRUNED
45,47278.76494081311,2025-03-17 11:17:32.911488,2025-03-17 11:17:32.956726,0 days 00:00:00.045238,0.16156563212198805,14,41,400,94,PRUNED
46,44314.22474941965,2025-03-17 11:17:32.956855,2025-03-17 11:17:33.003712,0 days 00:00:00.046857,0.2234207147532531,12,44,500,45,PRUNED
47,15880.401489313695,2025-03-17 11:17:33.003835,2025-03-17 11:17:36.520184,0 days 00:00:03.516349,0.25905051252825184,13,47,600,53,COMPLETE
48,51745.69851688127,2025-03-17 11:17:36.520696,2025-03-17 11:17:36.564109,0 days 00:00:00.043413,0.0701329012978692,9,39,1000,56,PRUNED
49,49367.85324599143,2025-03-17 11:17:36.564251,2025-03-17 11:17:36.608686,0 days 00:00:00.044435,0.11845574127798024,12,44,400,69,PRUNED
50,45639.5083952829,2025-03-17 11:17:36.608813,2025-03-17 11:17:36.655005,0 days 00:00:00.046192,0.195534769524654,9,46,500,49,PRUNED
51,42732.573661172995,2025-03-17 11:17:36.655125,2025-03-17 11:17:36.699974,0 days 00:00:00.044849,0.2568447749694671,11,48,500,56,PRUNED
52,16923.741006095763,2025-03-17 11:17:36.700110,2025-03-17 11:17:36.799314,0 days 00:00:00.099204,0.2787424360796448,10,50,500,58,PRUNED
53,44778.020012278736,2025-03-17 11:17:36.799498,2025-03-17 11:17:36.844968,0 days 00:00:00.045470,0.21366697015537045,11,43,400,97,PRUNED
54,47795.09271488773,2025-03-17 11:17:36.845107,2025-03-17 11:17:36.890687,0 days 00:00:00.045580,0.15074381347031615,11,47,600,42,PRUNED
55,43134.39867081958,2025-03-17 11:17:36.890820,2025-03-17 11:17:36.937899,0 days 00:00:00.047079,0.248272266264724,10,46,700,64,PRUNED
56,15712.529071846424,2025-03-17 11:17:36.938037,2025-03-17 11:17:37.061701,0 days 00:00:00.123664,0.29660454234259304,12,43,600,52,PRUNED
57,46833.957040544155,2025-03-17 11:17:37.061828,2025-03-17 11:17:37.109630,0 days 00:00:00.047802,0.17058006336091802,8,37,300,87,PRUNED
58,43872.058695444925,2025-03-17 11:17:37.109751,2025-03-17 11:17:37.155591,0 days 00:00:00.045840,0.23288914720063816,13,49,500,47,PRUNED
59,45586.23778867971,2025-03-17 11:17:37.155724,2025-03-17 11:17:37.198182,0 days 00:00:00.042458,0.1972572756827363,11,42,400,27,PRUNED
60,15510.512416792793,2025-03-17 11:17:37.198319,2025-03-17 11:17:37.349172,0 days 00:00:00.150853,0.2626574579215014,9,39,500,37,PRUNED
61,15352.19533562379,2025-03-17 11:17:37.349311,2025-03-17 11:17:39.944654,0 days 00:00:02.595343,0.29574268240609375,12,50,500,78,COMPLETE
62,43861.48289438627,2025-03-17 11:17:39.945127,2025-03-17 11:17:39.988765,0 days 00:00:00.043638,0.23303382865309993,10,45,500,80,PRUNED
63,15459.04651690108,2025-03-17 11:17:39.988901,2025-03-17 11:17:43.152817,0 days 00:00:03.163916,0.27190743232706793,12,47,600,84,COMPLETE
64,45204.187857674886,2025-03-17 11:17:43.153345,2025-03-17 11:17:43.196067,0 days 00:00:00.042722,0.20484354453901418,12,49,600,86,PRUNED
65,54191.072325615845,2025-03-17 11:17:43.196208,2025-03-17 11:17:43.241698,0 days 00:00:00.045490,0.020475276246831806,14,47,700,83,PRUNED
66,52037.54884787407,2025-03-17 11:17:43.241822,2025-03-17 11:17:43.286929,0 days 00:00:00.045107,0.06404741104425571,12,49,600,89,PRUNED
67,15839.586280318672,2025-03-17 11:17:43.287058,2025-03-17 11:17:43.434397,0 days 00:00:00.147339,0.2811369706208496,13,35,900,97,PRUNED
68,50617.97388359572,2025-03-17 11:17:43.434528,2025-03-17 11:17:43.479723,0 days 00:00:00.045195,0.09290814688820079,10,45,600,73,PRUNED
69,53893.212593707685,2025-03-17 11:17:43.479857,2025-03-17 11:17:43.525403,0 days 00:00:00.045546,0.0265182039087773,11,50,400,70,PRUNED
70,46427.64187295545,2025-03-17 11:17:43.525533,2025-03-17 11:17:43.573798,0 days 00:00:00.048265,0.1808342233552835,12,29,700,83,PRUNED
71,15277.569341039416,2025-03-17 11:17:43.573924,2025-03-17 11:17:45.845642,0 days 00:00:02.271718,0.2699354393649702,11,47,500,51,COMPLETE
72,44026.01231885397,2025-03-17 11:17:45.846111,2025-03-17 11:17:45.894790,0 days 00:00:00.048679,0.23707203782786387,11,10,500,58,PRUNED
73,15480.108700271603,2025-03-17 11:17:45.894948,2025-03-17 11:17:46.025225,0 days 00:00:00.130277,0.2995356191428796,13,48,500,76,PRUNED
74,15692.27698236747,2025-03-17 11:17:46.025365,2025-03-17 11:17:46.142953,0 days 00:00:00.117588,0.270026843015738,12,46,400,51,PRUNED
75,53124.80947866015,2025-03-17 11:17:46.143088,2025-03-17 11:17:46.189198,0 days 00:00:00.046110,0.04198672114593462,9,43,600,100,PRUNED
