number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,15316.699375400585,2025-03-17 10:56:19.865129,2025-03-17 10:56:20.829069,0 days 00:00:00.963940,0.019394018094183788,4,45,400,65,COMPLETE
1,16733.58324033291,2025-03-17 10:56:20.829539,2025-03-17 10:56:21.887904,0 days 00:00:01.058365,0.18028157198434852,5,25,500,56,COMPLETE
2,14976.791890312357,2025-03-17 10:56:21.888349,2025-03-17 10:56:27.195518,0 days 00:00:05.307169,0.011255342529256356,13,45,700,92,COMPLETE
3,15160.020047024813,2025-03-17 10:56:27.196109,2025-03-17 10:56:28.669015,0 days 00:00:01.472906,0.034991730782804195,8,48,400,55,COMPLETE
4,18692.16948598438,2025-03-17 10:56:28.669534,2025-03-17 10:56:31.254246,0 days 00:00:02.584712,0.12247446048416932,12,14,400,78,COMPLETE
5,14927.028047294647,2025-03-17 10:56:31.254756,2025-03-17 10:56:32.657702,0 days 00:00:01.402946,0.0562930544109996,10,48,300,57,COMPLETE
6,54212.70426374869,2025-03-17 10:56:32.658101,2025-03-17 10:56:32.692233,0 days 00:00:00.034132,0.020020906411942777,15,27,1000,33,PRUNED
7,15207.43651704349,2025-03-17 10:56:32.692369,2025-03-17 10:56:34.894979,0 days 00:00:02.202610,0.1268246270412419,11,44,600,67,PRUNED
8,54608.3081822177,2025-03-17 10:56:34.895290,2025-03-17 10:56:34.925912,0 days 00:00:00.030622,0.012342031637475503,4,50,500,36,PRUNED
9,16325.243230134332,2025-03-17 10:56:34.926037,2025-03-17 10:56:37.611889,0 days 00:00:02.685852,0.060496769998262596,12,25,700,49,PRUNED
10,15657.058246452525,2025-03-17 10:56:37.612176,2025-03-17 10:56:38.196849,0 days 00:00:00.584673,0.06536871654213304,8,37,100,99,COMPLETE
11,53365.01800216597,2025-03-17 10:56:38.197141,2025-03-17 10:56:38.240230,0 days 00:00:00.043089,0.03719708705162827,15,36,100,92,PRUNED
12,54695.50462514085,2025-03-17 10:56:38.240359,2025-03-17 10:56:38.285404,0 days 00:00:00.045045,0.010316542929054573,10,38,800,81,PRUNED
13,15247.318221401914,2025-03-17 10:56:38.285538,2025-03-17 10:56:40.408860,0 days 00:00:02.123322,0.08537890474997296,13,41,900,20,PRUNED
14,53677.401124374635,2025-03-17 10:56:40.409143,2025-03-17 10:56:40.451958,0 days 00:00:00.042815,0.031075807596171137,7,32,300,78,PRUNED
15,18723.73931849441,2025-03-17 10:56:40.452086,2025-03-17 10:56:41.595186,0 days 00:00:01.143100,0.27009322388667145,13,18,200,43,PRUNED
16,54179.17936499805,2025-03-17 10:56:41.595362,2025-03-17 10:56:41.638757,0 days 00:00:00.043395,0.02074949094285743,10,50,700,87,PRUNED
17,15553.484794117394,2025-03-17 10:56:41.638889,2025-03-17 10:56:42.306734,0 days 00:00:00.667845,0.09084439266013686,6,43,600,69,PRUNED
18,53086.47669867139,2025-03-17 10:56:42.306943,2025-03-17 10:56:42.354147,0 days 00:00:00.047204,0.04294596499235696,14,31,300,97,PRUNED
19,54459.176438313916,2025-03-17 10:56:42.354273,2025-03-17 10:56:42.398419,0 days 00:00:00.044146,0.01508304513315766,9,46,800,73,PRUNED
20,53847.62098637623,2025-03-17 10:56:42.398544,2025-03-17 10:56:42.443241,0 days 00:00:00.044697,0.027409096502905263,11,41,200,60,PRUNED
21,52966.92437389988,2025-03-17 10:56:42.443371,2025-03-17 10:56:42.487076,0 days 00:00:00.043705,0.045178244144399485,9,48,400,51,PRUNED
22,53716.17497324971,2025-03-17 10:56:42.487200,2025-03-17 10:56:42.531093,0 days 00:00:00.043893,0.030114980603403792,7,47,300,59,PRUNED
23,52601.14841705445,2025-03-17 10:56:42.531219,2025-03-17 10:56:42.577205,0 days 00:00:00.045986,0.0526378832075179,8,40,500,44,PRUNED
24,53948.39605859391,2025-03-17 10:56:42.577392,2025-03-17 10:56:42.622366,0 days 00:00:00.044974,0.02492058620736709,11,34,700,54,PRUNED
25,15341.827940718089,2025-03-17 10:56:42.622500,2025-03-17 10:56:43.614635,0 days 00:00:00.992135,0.07837670670430795,10,50,200,62,COMPLETE
26,54479.860761788615,2025-03-17 10:56:43.614956,2025-03-17 10:56:43.656784,0 days 00:00:00.041828,0.014671556817086089,8,43,400,33,PRUNED
27,53365.440564257784,2025-03-17 10:56:43.656905,2025-03-17 10:56:43.700963,0 days 00:00:00.044058,0.0371161366640485,13,47,600,72,PRUNED
28,15589.068404345462,2025-03-17 10:56:43.701098,2025-03-17 10:56:44.349407,0 days 00:00:00.648309,0.1073082748010028,3,39,800,45,PRUNED
29,54391.23154764778,2025-03-17 10:56:44.349680,2025-03-17 10:56:44.391934,0 days 00:00:00.042254,0.01652512168600151,6,45,300,85,PRUNED
30,17960.003999488643,2025-03-17 10:56:44.392073,2025-03-17 10:56:46.251798,0 days 00:00:01.859725,0.17367448179258302,14,19,500,65,PRUNED
31,54707.88073792176,2025-03-17 10:56:46.252010,2025-03-17 10:56:46.293011,0 days 00:00:00.041001,0.010188112862810487,5,43,400,54,PRUNED
32,54237.44911126372,2025-03-17 10:56:46.293139,2025-03-17 10:56:46.332440,0 days 00:00:00.039301,0.02090403502579402,3,47,500,38,PRUNED
33,54429.55529738222,2025-03-17 10:56:46.332566,2025-03-17 10:56:46.375409,0 days 00:00:00.042843,0.016767757007435543,5,12,400,58,PRUNED
34,54094.885639061155,2025-03-17 10:56:46.375533,2025-03-17 10:56:46.418149,0 days 00:00:00.042616,0.02246043936318521,12,45,400,27,PRUNED
35,54614.30616291797,2025-03-17 10:56:46.418279,2025-03-17 10:56:46.458681,0 days 00:00:00.040402,0.01211614489106457,4,28,300,64,PRUNED
36,54289.057217035835,2025-03-17 10:56:46.458811,2025-03-17 10:56:46.504680,0 days 00:00:00.045869,0.01852267118496834,9,49,1000,49,PRUNED
37,54559.43856872461,2025-03-17 10:56:46.504840,2025-03-17 10:56:46.548020,0 days 00:00:00.043180,0.013108479240386817,7,41,600,76,PRUNED
38,53485.170455939995,2025-03-17 10:56:46.548158,2025-03-17 10:56:46.590620,0 days 00:00:00.042462,0.0354550039743643,4,44,500,69,PRUNED
39,52653.97043493231,2025-03-17 10:56:46.590742,2025-03-17 10:56:46.633965,0 days 00:00:00.043223,0.051830413250533905,6,35,200,89,PRUNED
40,17001.158959483466,2025-03-17 10:56:46.634098,2025-03-17 10:56:47.848668,0 days 00:00:01.214570,0.06334156632123339,11,22,700,82,PRUNED
41,15265.495474716558,2025-03-17 10:56:47.848840,2025-03-17 10:56:48.829625,0 days 00:00:00.980785,0.07881708281652129,10,50,200,61,COMPLETE
42,14968.056611581635,2025-03-17 10:56:48.829958,2025-03-17 10:56:49.902817,0 days 00:00:01.072859,0.1104077897735003,12,48,200,57,COMPLETE
43,14916.068625268203,2025-03-17 10:56:49.903137,2025-03-17 10:56:50.569765,0 days 00:00:00.666628,0.12919265934458252,12,48,100,56,COMPLETE
44,14955.284767845564,2025-03-17 10:56:50.570005,2025-03-17 10:56:51.191300,0 days 00:00:00.621295,0.15008153045088754,12,48,100,56,COMPLETE
45,15351.948796395316,2025-03-17 10:56:51.191550,2025-03-17 10:56:51.794231,0 days 00:00:00.602681,0.15974477290719827,12,46,100,51,COMPLETE
46,15070.130696604547,2025-03-17 10:56:51.794525,2025-03-17 10:56:52.438140,0 days 00:00:00.643615,0.26218260928610193,14,48,100,57,COMPLETE
47,15418.639627485267,2025-03-17 10:56:52.438388,2025-03-17 10:56:53.060509,0 days 00:00:00.622121,0.12668495732666593,12,42,100,47,COMPLETE
