number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
40,22071.604293988254,2025-03-17 13:09:34.488866,2025-03-17 13:10:01.267502,0 days 00:00:26.778636,0.05566071140807112,13,23,50,COMPLETE
41,21287.088966033858,2025-03-17 13:10:01.267697,2025-03-17 13:10:07.112200,0 days 00:00:05.844503,0.04703158918759898,3,47,31,COMPLETE
42,22462.897287486754,2025-03-17 13:10:07.112386,2025-03-17 13:10:23.527714,0 days 00:00:16.415328,0.02725664012310744,9,36,21,COMPLETE
43,21652.500519809848,2025-03-17 13:10:23.527918,2025-03-17 13:10:44.658017,0 days 00:00:21.130099,0.021924056351061972,11,43,24,COMPLETE
44,21319.979175351524,2025-03-17 13:10:44.658222,2025-03-17 13:10:59.279044,0 days 00:00:14.620822,0.06264081005712781,8,47,31,COMPLETE
45,21436.802324243694,2025-03-17 13:10:59.279311,2025-03-17 13:11:11.500871,0 days 00:00:12.221560,0.05108798071234119,6,48,20,COMPLETE
46,21439.40793704969,2025-03-17 13:11:11.501067,2025-03-17 13:11:30.309397,0 days 00:00:18.808330,0.0417161033802257,10,45,43,COMPLETE
47,23230.589883086846,2025-03-17 13:11:30.309581,2025-03-17 13:11:52.566580,0 days 00:00:22.256999,0.08301994360606077,11,40,60,COMPLETE
48,21299.448027356084,2025-03-17 13:11:52.566767,2025-03-17 13:12:18.738336,0 days 00:00:26.171569,0.03630211284873459,13,48,36,COMPLETE
49,23170.09358148015,2025-03-17 13:12:18.738542,2025-03-17 13:12:34.816717,0 days 00:00:16.078175,0.06610310364461996,9,37,28,COMPLETE
