number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,15666.409443801726,2025-03-17 11:24:37.015684,2025-03-17 11:24:40.595003,0 days 00:00:03.579319,0.019717539638181156,8,35,900,67,COMPLETE
1,16556.764362304442,2025-03-17 11:24:40.595739,2025-03-17 11:24:43.549692,0 days 00:00:02.953953,0.17101224630877154,11,31,700,43,COMPLETE
2,17460.49926382347,2025-03-17 11:24:43.550338,2025-03-17 11:24:43.835793,0 days 00:00:00.285455,0.11446329340811605,3,21,200,90,COMPLETE
3,16820.794345328904,2025-03-17 11:24:43.836281,2025-03-17 11:24:44.691573,0 days 00:00:00.855292,0.022161328405353942,3,14,700,40,COMPLETE
4,17802.967142106798,2025-03-17 11:24:44.692221,2025-03-17 11:24:46.086341,0 days 00:00:01.394120,0.07888766103145195,4,19,900,66,COMPLETE
5,52255.159182232725,2025-03-17 11:24:46.087040,2025-03-17 11:24:46.120322,0 days 00:00:00.033282,0.05965489068498783,9,40,100,97,PRUNED
6,54502.52806265068,2025-03-17 11:24:46.120473,2025-03-17 11:24:46.155146,0 days 00:00:00.034673,0.014033032973980822,6,34,200,45,PRUNED
7,54077.245376229155,2025-03-17 11:24:46.155279,2025-03-17 11:24:46.187540,0 days 00:00:00.032261,0.02300114102480938,9,29,1000,27,PRUNED
8,17915.21058721251,2025-03-17 11:24:46.187668,2025-03-17 11:24:49.968695,0 days 00:00:03.781027,0.13195162462923493,14,12,600,34,COMPLETE
9,54107.54780600557,2025-03-17 11:24:49.969307,2025-03-17 11:24:50.007107,0 days 00:00:00.037800,0.021509666504153403,13,20,200,60,PRUNED
10,15233.309159176608,2025-03-17 11:24:50.007246,2025-03-17 11:24:51.071095,0 days 00:00:01.063849,0.29678902803813806,7,49,400,78,COMPLETE
11,15359.351480851714,2025-03-17 11:24:51.071508,2025-03-17 11:24:52.130532,0 days 00:00:01.059024,0.2729491152032568,7,50,400,76,COMPLETE
12,15103.32523339088,2025-03-17 11:24:52.130939,2025-03-17 11:24:53.045796,0 days 00:00:00.914857,0.2901429371305668,6,50,400,81,COMPLETE
13,15427.7314272933,2025-03-17 11:24:53.046200,2025-03-17 11:24:53.951758,0 days 00:00:00.905558,0.26608035829958737,6,48,400,82,COMPLETE
14,15289.528624369534,2025-03-17 11:24:53.952164,2025-03-17 11:24:55.738118,0 days 00:00:01.785954,0.1942476355485189,11,44,400,83,COMPLETE
15,53213.232266760126,2025-03-17 11:24:55.738518,2025-03-17 11:24:55.776565,0 days 00:00:00.038047,0.04064116919681123,5,41,500,56,PRUNED
16,15647.329842668758,2025-03-17 11:24:55.776698,2025-03-17 11:24:57.128599,0 days 00:00:01.351901,0.28747413261964877,11,46,300,100,COMPLETE
17,50702.419540447365,2025-03-17 11:24:57.128977,2025-03-17 11:24:57.169543,0 days 00:00:00.040566,0.09144430260975764,7,41,600,73,PRUNED
18,46559.53017430515,2025-03-17 11:24:57.169666,2025-03-17 11:24:57.209667,0 days 00:00:00.040001,0.17820016997584745,5,50,500,88,PRUNED
19,53161.02294368202,2025-03-17 11:24:57.209786,2025-03-17 11:24:57.253602,0 days 00:00:00.043816,0.04121343216957536,8,37,300,52,PRUNED
20,54707.0261866158,2025-03-17 11:24:57.253722,2025-03-17 11:24:57.298808,0 days 00:00:00.045086,0.010061366209903208,10,27,700,74,PRUNED
21,15734.849327316899,2025-03-17 11:24:57.298930,2025-03-17 11:24:57.460959,0 days 00:00:00.162029,0.20399329221778853,12,45,400,83,PRUNED
22,15189.37758297839,2025-03-17 11:24:57.461092,2025-03-17 11:24:59.388772,0 days 00:00:01.927680,0.22012042465494833,15,44,300,82,COMPLETE
23,48619.859757707,2025-03-17 11:24:59.389149,2025-03-17 11:24:59.431012,0 days 00:00:00.041863,0.1341787867251444,7,45,300,94,PRUNED
24,15840.861326822,2025-03-17 11:24:59.431140,2025-03-17 11:24:59.578440,0 days 00:00:00.147300,0.22592634019795363,14,50,100,66,PRUNED
25,15680.039443007065,2025-03-17 11:24:59.578570,2025-03-17 11:24:59.753901,0 days 00:00:00.175331,0.28979423972770835,15,42,500,78,PRUNED
26,47736.382995065316,2025-03-17 11:24:59.754039,2025-03-17 11:24:59.795889,0 days 00:00:00.041850,0.15326510634649196,5,38,300,90,PRUNED
27,50096.738552377334,2025-03-17 11:24:59.796011,2025-03-17 11:24:59.838687,0 days 00:00:00.042676,0.10347889127197323,8,47,200,70,PRUNED
