number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
40,0.2529703970154831,2025-03-18 11:46:10.756880,2025-03-18 11:47:31.301093,0 days 00:01:20.544213,0.2998116590587991,15,21,87,COMPLETE
41,0.24210287965868,2025-03-18 11:47:31.301273,2025-03-18 12:08:16.614659,0 days 00:20:45.313386,0.14612111800983862,12,13,77,COMPLETE
42,0.24173829352497073,2025-03-18 12:08:16.615214,2025-03-18 12:16:38.883619,0 days 00:08:22.268405,0.13149785337420458,13,13,77,COMPLETE
43,0.24048150503119214,2025-03-18 12:16:38.883842,2025-03-18 12:17:55.345859,0 days 00:01:16.462017,0.12214311827524937,13,10,69,COMPLETE
44,0.23996672177181103,2025-03-18 12:17:55.346046,2025-03-18 12:19:15.188032,0 days 00:01:19.841986,0.11670709551558815,14,10,67,COMPLETE
45,0.2552488097138636,2025-03-18 12:19:15.188219,2025-03-18 12:19:40.666926,0 days 00:00:25.478707,0.11064794010378144,5,10,69,COMPLETE
46,0.24823462559257115,2025-03-18 12:19:40.667127,2025-03-18 12:21:02.148194,0 days 00:01:21.481067,0.05173958741779095,14,18,64,COMPLETE
47,0.24037161606101512,2025-03-18 12:21:02.148401,2025-03-18 12:22:20.715077,0 days 00:01:18.566676,0.1194168638790284,14,11,69,COMPLETE
48,0.24014808386141437,2025-03-18 12:22:20.715402,2025-03-18 12:23:36.860608,0 days 00:01:16.145206,0.122861205067643,15,11,56,COMPLETE
49,0.24582748392225043,2025-03-18 12:23:36.860800,2025-03-18 12:24:54.452135,0 days 00:01:17.591335,0.05850429485245913,15,16,55,COMPLETE
