number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,17315.806878862386,2025-03-17 10:59:10.901953,2025-03-17 10:59:12.308499,0 days 00:00:01.406546,0.025696256230211614,3,14,1000,64,COMPLETE
1,15772.906449196606,2025-03-17 10:59:12.309295,2025-03-17 10:59:14.004508,0 days 00:00:01.695213,0.03014729093415196,5,37,900,58,COMPLETE
2,15922.900833578617,2025-03-17 10:59:14.005210,2025-03-17 10:59:14.645910,0 days 00:00:00.640700,0.013338222445051538,4,21,300,50,COMPLETE
3,17161.982782712093,2025-03-17 10:59:14.646440,2025-03-17 10:59:15.303967,0 days 00:00:00.657527,0.16011727708759207,7,17,200,74,COMPLETE
4,19030.6530139653,2025-03-17 10:59:15.304463,2025-03-17 10:59:17.927892,0 days 00:00:02.623429,0.23866598815606044,9,18,700,41,COMPLETE
5,18772.67715946036,2025-03-17 10:59:17.928544,2025-03-17 10:59:21.187623,0 days 00:00:03.259079,0.1367910714276648,13,16,500,68,COMPLETE
6,51505.551989256455,2025-03-17 10:59:21.188211,2025-03-17 10:59:21.229804,0 days 00:00:00.041593,0.07252103976131195,10,18,200,92,PRUNED
7,53554.851202701495,2025-03-17 10:59:21.229934,2025-03-17 10:59:21.264865,0 days 00:00:00.034931,0.03377475591697679,6,29,1000,77,PRUNED
8,53766.39880760505,2025-03-17 10:59:21.264992,2025-03-17 10:59:21.304671,0 days 00:00:00.039679,0.02823539667856553,13,22,300,89,PRUNED
9,52631.08810986915,2025-03-17 10:59:21.304799,2025-03-17 10:59:21.342012,0 days 00:00:00.037213,0.05210369499556818,14,42,200,25,PRUNED
10,54593.385906219744,2025-03-17 10:59:21.342135,2025-03-17 10:59:21.384039,0 days 00:00:00.041904,0.012460593450039982,6,48,800,20,PRUNED
11,54671.11096878557,2025-03-17 10:59:21.384189,2025-03-17 10:59:21.423197,0 days 00:00:00.039008,0.011570098409180076,3,36,500,47,PRUNED
12,54332.71176329254,2025-03-17 10:59:21.423319,2025-03-17 10:59:21.464174,0 days 00:00:00.040855,0.017853526987110926,4,28,400,51,PRUNED
13,54272.02733565754,2025-03-17 10:59:21.464307,2025-03-17 10:59:21.506554,0 days 00:00:00.042247,0.0190513097583889,5,36,700,55,PRUNED
14,52726.8024923909,2025-03-17 10:59:21.506675,2025-03-17 10:59:21.550129,0 days 00:00:00.043454,0.05215709402941038,8,10,800,37,PRUNED
15,54293.321589079904,2025-03-17 10:59:21.550262,2025-03-17 10:59:21.592433,0 days 00:00:00.042171,0.01847623646149914,11,24,100,37,PRUNED
16,54686.53065952264,2025-03-17 10:59:21.592562,2025-03-17 10:59:21.632196,0 days 00:00:00.039634,0.010624312443627264,5,35,400,60,PRUNED
17,53303.51724785419,2025-03-17 10:59:21.632322,2025-03-17 10:59:21.676001,0 days 00:00:00.043679,0.038480582866338674,7,43,900,81,PRUNED
18,17618.31881327191,2025-03-17 10:59:21.676122,2025-03-17 10:59:22.984078,0 days 00:00:01.307956,0.09821251440703647,4,23,600,45,COMPLETE
19,54462.46544937669,2025-03-17 10:59:22.984753,2025-03-17 10:59:23.024505,0 days 00:00:00.039752,0.015249183068676453,5,32,400,32,PRUNED
20,54042.400745247396,2025-03-17 10:59:23.024640,2025-03-17 10:59:23.070098,0 days 00:00:00.045458,0.02348845042258334,8,42,100,56,PRUNED
21,17326.17383990051,2025-03-17 10:59:23.070227,2025-03-17 10:59:23.362416,0 days 00:00:00.292189,0.28498161853468335,7,10,300,71,PRUNED
22,17357.42634343463,2025-03-17 10:59:23.362597,2025-03-17 10:59:24.174286,0 days 00:00:00.811689,0.18487485202903164,6,26,200,99,COMPLETE
23,50380.30779959056,2025-03-17 10:59:24.174834,2025-03-17 10:59:24.217187,0 days 00:00:00.042353,0.09981340724484551,4,20,600,76,PRUNED
24,53390.586027608166,2025-03-17 10:59:24.217317,2025-03-17 10:59:24.269308,0 days 00:00:00.051991,0.03848929962012749,7,15,300,63,PRUNED
25,52016.89725558895,2025-03-17 10:59:24.269438,2025-03-17 10:59:24.311251,0 days 00:00:00.041813,0.06861947624890313,3,31,100,84,PRUNED
26,17154.520786676912,2025-03-17 10:59:24.311383,2025-03-17 10:59:25.723736,0 days 00:00:01.412353,0.1363647036018364,8,13,300,71,COMPLETE
27,50116.98091055502,2025-03-17 10:59:25.724287,2025-03-17 10:59:25.861666,0 days 00:00:00.137379,0.10341969189451487,11,39,400,53,PRUNED
28,52122.848804621695,2025-03-17 10:59:25.861794,2025-03-17 10:59:25.935461,0 days 00:00:00.073667,0.06498891295738676,9,12,500,67,PRUNED
29,54031.84605776639,2025-03-17 10:59:25.935607,2025-03-17 10:59:25.977554,0 days 00:00:00.041947,0.02533637681268727,3,49,1000,61,PRUNED
30,54570.743327887314,2025-03-17 10:59:25.977690,2025-03-17 10:59:26.019101,0 days 00:00:00.041411,0.013799831189174572,5,13,900,48,PRUNED
31,16560.604155071796,2025-03-17 10:59:26.019257,2025-03-17 10:59:26.858820,0 days 00:00:00.839563,0.13929955899029695,8,17,200,77,COMPLETE
32,49409.49808332844,2025-03-17 10:59:26.859318,2025-03-17 10:59:26.906812,0 days 00:00:00.047494,0.11401697214422866,8,21,300,71,PRUNED
