number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.25945024079825374,2025-03-18 18:52:02.784716,2025-03-18 18:54:37.059348,0 days 00:02:34.274632,0.01334914464728077,12,14,58,COMPLETE
1,0.2588607298838258,2025-03-18 18:54:37.059666,2025-03-18 18:55:39.020709,0 days 00:01:01.961043,0.02515540841206862,11,40,33,COMPLETE
2,0.26617842270973563,2025-03-18 18:55:39.020939,2025-03-18 18:55:59.651440,0 days 00:00:20.630501,0.13619887628785537,3,38,98,COMPLETE
3,0.24458550203433163,2025-03-18 18:55:59.651638,2025-03-18 18:57:13.509667,0 days 00:01:13.858029,0.15411697052654302,11,38,85,COMPLETE
4,0.24011021592519635,2025-03-18 18:57:13.509957,2025-03-18 18:58:17.215272,0 days 00:01:03.705315,0.1686964418334663,14,24,38,COMPLETE
5,0.24250458348443332,2025-03-18 18:58:17.215498,2025-03-18 18:59:42.632128,0 days 00:01:25.416630,0.05228420339036966,12,21,89,COMPLETE
6,0.24746005616703734,2025-03-18 18:59:42.632324,2025-03-18 19:00:25.137380,0 days 00:00:42.505056,0.11288586412114732,7,32,54,COMPLETE
7,0.23896252760992426,2025-03-18 19:00:25.137585,2025-03-18 19:01:46.510051,0 days 00:01:21.372466,0.15393505895902587,14,24,62,COMPLETE
8,0.253324668317774,2025-03-18 19:01:46.510288,2025-03-18 19:02:16.664169,0 days 00:00:30.153881,0.13904999898301032,5,48,39,COMPLETE
9,0.24310148022064615,2025-03-18 19:02:16.664398,2025-03-18 19:03:08.260980,0 days 00:00:51.596582,0.2914955954437248,12,21,28,COMPLETE
10,0.23708031667074853,2025-03-18 19:03:08.261173,2025-03-18 19:04:50.785966,0 days 00:01:42.524793,0.05407209071982093,15,10,74,COMPLETE
11,0.23664957997810593,2025-03-18 19:04:50.786166,2025-03-18 19:06:33.735702,0 days 00:01:42.949536,0.05481691174778194,15,10,74,COMPLETE
12,0.238059150293013,2025-03-18 19:06:33.735912,2025-03-18 19:08:15.704536,0 days 00:01:41.968624,0.0503390193613163,15,11,75,COMPLETE
13,0.25156427810878856,2025-03-18 19:08:15.704740,2025-03-18 19:09:28.473946,0 days 00:01:12.769206,0.029252872406332453,9,13,74,COMPLETE
14,0.23688297485105997,2025-03-18 19:09:28.474142,2025-03-18 19:11:01.459914,0 days 00:01:32.985772,0.07664024374549185,15,17,73,COMPLETE
15,0.24235931537778505,2025-03-18 19:11:01.460127,2025-03-18 19:12:00.233123,0 days 00:00:58.772996,0.07888420411400002,9,18,66,COMPLETE
16,0.24678053303186612,2025-03-18 19:12:00.233315,2025-03-18 19:13:22.910740,0 days 00:01:22.677425,0.031074798424584358,13,16,53,COMPLETE
17,0.24924996362408444,2025-03-18 19:13:22.910942,2025-03-18 19:14:07.358790,0 days 00:00:44.447848,0.08446237427127061,7,31,84,COMPLETE
18,0.2580664017408677,2025-03-18 19:14:07.358990,2025-03-18 19:15:32.383432,0 days 00:01:25.024442,0.0154354216652842,15,26,46,COMPLETE
19,0.24072702858888495,2025-03-18 19:15:32.383649,2025-03-18 19:16:41.013502,0 days 00:01:08.629853,0.08131173170922297,10,18,99,COMPLETE
20,0.23765711222696223,2025-03-18 19:16:41.013702,2025-03-18 19:18:00.491960,0 days 00:01:19.478258,0.23787106569512254,13,10,68,COMPLETE
21,0.23991857314731382,2025-03-18 19:18:00.492167,2025-03-18 19:19:50.286109,0 days 00:01:49.793942,0.03874248976176124,15,10,78,COMPLETE
22,0.23741255606142567,2025-03-18 19:19:50.286377,2025-03-18 19:21:21.316302,0 days 00:01:31.029925,0.06792807020719485,14,14,71,COMPLETE
23,0.24107041992093495,2025-03-18 19:21:21.316544,2025-03-18 19:23:05.420570,0 days 00:01:44.104026,0.04133502451267249,15,17,81,COMPLETE
24,0.24758379066943656,2025-03-18 19:23:05.420777,2025-03-18 19:25:01.413693,0 days 00:01:55.992916,0.021789862070933277,13,10,93,COMPLETE
25,0.23752836713126718,2025-03-18 19:25:01.413903,2025-03-18 19:26:30.378621,0 days 00:01:28.964718,0.06276176353072377,14,14,65,COMPLETE
26,0.24019714409553666,2025-03-18 19:26:30.378814,2025-03-18 19:28:06.266422,0 days 00:01:35.887608,0.10910067548171827,15,28,75,COMPLETE
27,0.2446797369522765,2025-03-18 19:28:06.266615,2025-03-18 19:29:43.250639,0 days 00:01:36.984024,0.037306710075079734,13,21,90,COMPLETE
28,0.24793920812199283,2025-03-18 19:29:43.250839,2025-03-18 19:30:39.385362,0 days 00:00:56.134523,0.049091452096624084,8,13,58,COMPLETE
29,0.25631951352672366,2025-03-18 19:30:39.385555,2025-03-18 19:32:03.732804,0 days 00:01:24.347249,0.017839564409725835,11,16,58,COMPLETE
30,0.2370947012001184,2025-03-18 19:32:03.733005,2025-03-18 19:33:33.226081,0 days 00:01:29.493076,0.10020343726422687,14,20,81,COMPLETE
31,0.23657824659947863,2025-03-18 19:33:33.226286,2025-03-18 19:35:03.122295,0 days 00:01:29.896009,0.10428147181397898,14,19,80,COMPLETE
32,0.23862210309080395,2025-03-18 19:35:03.122488,2025-03-18 19:36:23.457233,0 days 00:01:20.334745,0.06875422139039894,12,13,68,COMPLETE
33,0.23796660798079544,2025-03-18 19:36:23.457445,2025-03-18 19:37:59.646739,0 days 00:01:36.189294,0.05756187461326167,15,15,71,COMPLETE
34,0.25715681064863416,2025-03-18 19:37:59.647080,2025-03-18 19:40:09.678579,0 days 00:02:10.031499,0.0112524853419279,14,12,84,COMPLETE
35,0.24494918572129154,2025-03-18 19:40:09.678862,2025-03-18 19:40:53.758373,0 days 00:00:44.079511,0.18858925543496052,13,34,21,COMPLETE
36,0.24049590129345547,2025-03-18 19:40:53.758568,2025-03-18 19:42:06.644966,0 days 00:01:12.886398,0.09909711766701311,11,24,93,COMPLETE
