number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
39,15753.279854485529,2025-03-17 10:51:13.211524,2025-03-17 10:51:13.380774,0 days 00:00:00.169250,0.12530008925659425,5,14,700,30,PRUNED
40,54692.99340858732,2025-03-17 10:51:13.380935,2025-03-17 10:51:13.425186,0 days 00:00:00.044251,0.010401321036047434,11,48,100,25,PRUNED
41,15344.184831690329,2025-03-17 10:51:13.425324,2025-03-17 10:51:14.792200,0 days 00:00:01.366876,0.10020256009673625,15,33,200,37,COMPLETE
42,52822.401514111676,2025-03-17 10:51:14.792758,2025-03-17 10:51:14.838769,0 days 00:00:00.046011,0.04794899986884879,13,28,300,54,PRUNED
43,16195.496960136607,2025-03-17 10:51:14.838905,2025-03-17 10:51:16.053735,0 days 00:00:01.214830,0.06956319715235662,13,20,200,97,PRUNED
44,15442.004783069779,2025-03-17 10:51:16.053911,2025-03-17 10:51:16.849967,0 days 00:00:00.796056,0.13913339433534289,14,42,600,70,PRUNED
45,16433.33509252481,2025-03-17 10:51:16.850133,2025-03-17 10:51:17.139390,0 days 00:00:00.289257,0.08072711177950634,14,10,400,36,PRUNED
46,15461.896404535815,2025-03-17 10:51:17.139523,2025-03-17 10:51:17.507349,0 days 00:00:00.367826,0.10727256090185712,6,34,300,48,PRUNED
47,52072.30525555226,2025-03-17 10:51:17.507514,2025-03-17 10:51:17.551367,0 days 00:00:00.043853,0.06356572381692518,8,50,1000,23,PRUNED
48,16054.258208744614,2025-03-17 10:51:17.551548,2025-03-17 10:51:17.686305,0 days 00:00:00.134757,0.19419387413569453,3,38,500,61,PRUNED
49,52820.78789964567,2025-03-17 10:51:17.686463,2025-03-17 10:51:17.730429,0 days 00:00:00.043966,0.04813320301882394,11,43,800,41,PRUNED
50,53549.88380924554,2025-03-17 10:51:17.730553,2025-03-17 10:51:17.775225,0 days 00:00:00.044672,0.03339920655800512,8,46,900,51,PRUNED
51,15151.885989397884,2025-03-17 10:51:17.775351,2025-03-17 10:51:19.064313,0 days 00:00:01.288962,0.10074048527217684,14,34,200,36,COMPLETE
52,15707.950754402736,2025-03-17 10:51:19.064854,2025-03-17 10:51:19.696499,0 days 00:00:00.631645,0.09359137535212075,15,30,100,31,COMPLETE
